Asset,Model,MSE,MAE,AIC,BIC,LogLikelihood,Model_Type,Engine,Data_Source,Source_File,Sheet_Name
EURUSD,NF_sGARCH,7.87003963101355e-05,0.0061944665486559,-34377.1707727693,-34351.5101309059,17192.5853863846,NF-GARCH,manual,NF_GARCH_Excel,results/consolidated/nf_garch_manual_results.xlsx,Chrono_Split_NF_GARCH
GBPUSD,NF_sGARCH,4.11087360487004e-05,0.0045294916356024,-33851.7540406431,-33826.0933987797,16929.8770203215,NF-GARCH,manual,NF_GARCH_Excel,results/consolidated/nf_garch_manual_results.xlsx,Chrono_Split_NF_GARCH
GBPCNY,NF_sGARCH,9.09855798606352e-05,0.0065568986258532,-34000.1819108926,-33974.5212690292,17004.0909554463,NF-GARCH,manual,NF_GARCH_Excel,results/consolidated/nf_garch_manual_results.xlsx,Chrono_Split_NF_GARCH
USDZAR,NF_sGARCH,0.0002807528988947,0.0116003965519534,-28584.7086508759,-28559.0480090125,14296.3543254379,NF-GARCH,manual,NF_GARCH_Excel,results/consolidated/nf_garch_manual_results.xlsx,Chrono_Split_NF_GARCH
GBPZAR,NF_sGARCH,0.000234628334629,0.0105766833994818,-29360.6227231552,-29334.9620812918,14684.3113615776,NF-GARCH,manual,NF_GARCH_Excel,results/consolidated/nf_garch_manual_results.xlsx,Chrono_Split_NF_GARCH
EURZAR,NF_sGARCH,0.0002178793284326,0.0102730463391164,-29599.374907485,-29573.7142656216,14803.6874537425,NF-GARCH,manual,NF_GARCH_Excel,results/consolidated/nf_garch_manual_results.xlsx,Chrono_Split_NF_GARCH
NVDA,NF_sGARCH,0.0026887219338427,0.0350785835350776,-19072.1926536163,-19046.5320117529,9540.09632680814,NF-GARCH,manual,NF_GARCH_Excel,results/consolidated/nf_garch_manual_results.xlsx,Chrono_Split_NF_GARCH
MSFT,NF_sGARCH,0.0006677853402264,0.0176466890767945,-24597.7607929695,-24572.1001511061,12302.8803964848,NF-GARCH,manual,NF_GARCH_Excel,results/consolidated/nf_garch_manual_results.xlsx,Chrono_Split_NF_GARCH
PG,NF_sGARCH,0.0002991052838286,0.0116270060266031,-28414.6416025701,-28388.9809607067,14211.320801285,NF-GARCH,manual,NF_GARCH_Excel,results/consolidated/nf_garch_manual_results.xlsx,Chrono_Split_NF_GARCH
CAT,NF_sGARCH,0.0009705475756338,0.0210262480563916,-23080.1961523215,-23054.5355104581,11544.0980761608,NF-GARCH,manual,NF_GARCH_Excel,results/consolidated/nf_garch_manual_results.xlsx,Chrono_Split_NF_GARCH
WMT,NF_sGARCH,0.0003880108215958,0.0133043833105053,-26987.0491061976,-26961.3884643342,13497.5245530988,NF-GARCH,manual,NF_GARCH_Excel,results/consolidated/nf_garch_manual_results.xlsx,Chrono_Split_NF_GARCH
AMZN,NF_sGARCH,0.0015402085205233,0.0260959867505983,-21218.7934264637,-21193.1327846003,10613.3967132318,NF-GARCH,manual,NF_GARCH_Excel,results/consolidated/nf_garch_manual_results.xlsx,Chrono_Split_NF_GARCH
EURUSD,NF_sGARCH,4.16211056314152e-05,0.0047125154123399,-34583.5588202508,-34551.4830179215,17296.7794101254,NF-GARCH,manual,NF_GARCH_Excel,results/consolidated/nf_garch_manual_results.xlsx,Chrono_Split_NF_GARCH
GBPUSD,NF_sGARCH,5.5313535734898e-05,0.0053398467601153,-34121.8216999079,-34089.7458975786,17065.9108499539,NF-GARCH,manual,NF_GARCH_Excel,results/consolidated/nf_garch_manual_results.xlsx,Chrono_Split_NF_GARCH
GBPCNY,NF_sGARCH,5.23220458678592e-05,0.005248945194078,-34205.385821607,-34173.3100192778,17107.6929108035,NF-GARCH,manual,NF_GARCH_Excel,results/consolidated/nf_garch_manual_results.xlsx,Chrono_Split_NF_GARCH
USDZAR,NF_sGARCH,0.0001997737687401,0.0102562744900235,-28673.9875229997,-28641.9117206705,14341.9937614999,NF-GARCH,manual,NF_GARCH_Excel,results/consolidated/nf_garch_manual_results.xlsx,Chrono_Split_NF_GARCH
GBPZAR,NF_sGARCH,0.0001581044750017,0.0091413441214285,-29517.0242242862,-29484.9484219569,14763.5121121431,NF-GARCH,manual,NF_GARCH_Excel,results/consolidated/nf_garch_manual_results.xlsx,Chrono_Split_NF_GARCH
