Asset,Model,MSE,MAE,Model_Type,Data_Source
NVDA,sGARCH_norm,0.0005651922045616,0.018880178183756,Standard GARCH,Standard_GARCH_Results
NVDA,sGARCH_sstd,0.0010414968076525,0.0280033934115395,Standard GARCH,Standard_GARCH_Results
NVDA,eGARCH,0.0005322087016148,0.0175811553777366,Standard GARCH,Standard_GARCH_Results
NVDA,gjrGARCH,0.0012244363582944,0.030527763700331,Standard GARCH,Standard_GARCH_Results
NVDA,TGARCH,0.0005473122909774,0.0182929353928832,Standard GARCH,Standard_GARCH_Results
MSFT,sGARCH_norm,0.0001548678198222,0.0103219885938324,Standard GARCH,Standard_GARCH_Results
MSFT,sGARCH_sstd,0.0002522529202788,0.0140252450671092,Standard GARCH,Standard_GARCH_Results
MSFT,eGARCH,0.0001421863148038,0.0095891730982391,Standard GARCH,Standard_GARCH_Results
MSFT,gjrGARCH,0.0002683255519462,0.0145386418570774,Standard GARCH,Standard_GARCH_Results
MSFT,TGARCH,0.0001501332054731,0.0100578699045054,Standard GARCH,Standard_GARCH_Results
PG,sGARCH_norm,6.67004149897342e-05,0.0065912680156328,Standard GARCH,Standard_GARCH_Results
PG,sGARCH_sstd,7.93584467306757e-05,0.0074954978394039,Standard GARCH,Standard_GARCH_Results
PG,eGARCH,6.23445798532016e-05,0.0061986707517624,Standard GARCH,Standard_GARCH_Results
PG,gjrGARCH,7.78553665355576e-05,0.0073910026088963,Standard GARCH,Standard_GARCH_Results
PG,TGARCH,6.62714911413294e-05,0.0065497492734015,Standard GARCH,Standard_GARCH_Results
CAT,sGARCH_norm,0.0002081393861782,0.0120321521610874,Standard GARCH,Standard_GARCH_Results
CAT,sGARCH_sstd,0.0002616474361081,0.0140700818100192,Standard GARCH,Standard_GARCH_Results
CAT,eGARCH,0.0001850218386088,0.0108959765895904,Standard GARCH,Standard_GARCH_Results
CAT,gjrGARCH,0.0002279624189593,0.0128505546168029,Standard GARCH,Standard_GARCH_Results
CAT,TGARCH,0.0001967001122871,0.0115005097389962,Standard GARCH,Standard_GARCH_Results
