Asset,Model,Confidence_Level,VaR_Method,Violations,Total_Obs,Violation_Rate,Expected_Rate,Kupiec_PValue,Christoffersen_PValue,DQ_PValue,Data_Source,Engine,Sheet_Name
NVDA,sGARCH_norm_Historical,0.95,Historical,64,903,0.070874861572536,0.05,0.0066116653646101,0.456114108430775,0.0269452764816414,VaR_Backtesting,,
NVDA,sGARCH_norm_Parametric,0.95,Parametric,52,903,0.0575858250276855,0.05,0.306614797762293,0.970549950280655,0.0168394670421883,VaR_Backtesting,,
NVDA,sGARCH_norm_GARCH,0.95,GARCH,39,903,0.0431893687707641,0.05,0.336805932984113,0.574157311537923,0.0654925545641877,VaR_Backtesting,,
NVDA,sGARCH_norm_Historical,0.99,Historical,6,903,0.0066445182724252,0.01,0.280483959269858,,0.988087517633998,VaR_Backtesting,,
NVDA,sGARCH_norm_Parametric,0.99,Parametric,14,903,0.0155038759689922,0.01,0.124018663009527,,0.262831676875943,VaR_Backtesting,,
NVDA,sGARCH_norm_GARCH,0.99,GARCH,7,903,0.0077519379844961,0.01,0.479669283904298,,0.978653092958545,VaR_Backtesting,,
NVDA,sGARCH_sstd_Historical,0.95,Historical,64,903,0.070874861572536,0.05,0.0066116653646101,0.456114108430775,0.0269452764816414,VaR_Backtesting,,
NVDA,sGARCH_sstd_Parametric,0.95,Parametric,52,903,0.0575858250276855,0.05,0.306614797762293,0.970549950280655,0.0168394670421883,VaR_Backtesting,,
NVDA,sGARCH_sstd_GARCH,0.95,GARCH,49,903,0.0542635658914729,0.05,0.561771434558039,0.801455953887463,0.424005056120836,VaR_Backtesting,,
NVDA,sGARCH_sstd_Historical,0.99,Historical,6,903,0.0066445182724252,0.01,0.280483959269858,,0.988087517633998,VaR_Backtesting,,
NVDA,sGARCH_sstd_Parametric,0.99,Parametric,14,903,0.0155038759689922,0.01,0.124018663009527,,0.262831676875943,VaR_Backtesting,,
NVDA,sGARCH_sstd_GARCH,0.99,GARCH,4,903,0.0044296788482835,0.01,0.0586842476065826,,0.997529594125242,VaR_Backtesting,,
NVDA,eGARCH_Historical,0.95,Historical,64,903,0.070874861572536,0.05,0.0066116653646101,0.456114108430775,0.0269452764816414,VaR_Backtesting,,
NVDA,eGARCH_Parametric,0.95,Parametric,52,903,0.0575858250276855,0.05,0.306614797762293,0.970549950280655,0.0168394670421883,VaR_Backtesting,,
NVDA,eGARCH_GARCH,0.95,GARCH,42,903,0.0465116279069767,0.05,0.626660242003722,0.45130411853168,0.0821686375354468,VaR_Backtesting,,
NVDA,eGARCH_Historical,0.99,Historical,6,903,0.0066445182724252,0.01,0.280483959269858,,0.988087517633998,VaR_Backtesting,,
NVDA,eGARCH_Parametric,0.99,Parametric,14,903,0.0155038759689922,0.01,0.124018663009527,,0.262831676875943,VaR_Backtesting,,
NVDA,eGARCH_GARCH,0.99,GARCH,4,903,0.0044296788482835,0.01,0.0586842476065826,,0.997529594125244,VaR_Backtesting,,
NVDA,gjrGARCH_Historical,0.95,Historical,64,903,0.070874861572536,0.05,0.0066116653646101,0.456114108430775,0.0269452764816414,VaR_Backtesting,,
NVDA,gjrGARCH_Parametric,0.95,Parametric,52,903,0.0575858250276855,0.05,0.306614797762293,0.970549950280655,0.0168394670421883,VaR_Backtesting,,
NVDA,gjrGARCH_GARCH,0.95,GARCH,45,903,0.0498338870431894,0.05,0.9817177051124,0.8883041211948,0.695677329321444,VaR_Backtesting,,
NVDA,gjrGARCH_Historical,0.99,Historical,6,903,0.0066445182724252,0.01,0.280483959269858,,0.988087517633998,VaR_Backtesting,,
NVDA,gjrGARCH_Parametric,0.99,Parametric,14,903,0.0155038759689922,0.01,0.124018663009527,,0.262831676875943,VaR_Backtesting,,
NVDA,gjrGARCH_GARCH,0.99,GARCH,3,903,0.0033222591362126,0.01,0.019137121459665,,0.999206271532834,VaR_Backtesting,,
NVDA,TGARCH_Historical,0.95,Historical,64,903,0.070874861572536,0.05,0.0066116653646101,0.456114108430775,0.0269452764816414,VaR_Backtesting,,
NVDA,TGARCH_Parametric,0.95,Parametric,52,903,0.0575858250276855,0.05,0.306614797762293,0.970549950280655,0.0168394670421883,VaR_Backtesting,,
NVDA,TGARCH_GARCH,0.95,GARCH,41,903,0.0454042081949059,0.05,0.520071972228371,0.490294756634549,0.0797788236176825,VaR_Backtesting,,
NVDA,TGARCH_Historical,0.99,Historical,6,903,0.0066445182724252,0.01,0.280483959269858,,0.988087517633998,VaR_Backtesting,,
NVDA,TGARCH_Parametric,0.99,Parametric,14,903,0.0155038759689922,0.01,0.124018663009527,,0.262831676875943,VaR_Backtesting,,
NVDA,TGARCH_GARCH,0.99,GARCH,6,903,0.0066445182724252,0.01,0.280483959269858,,0.988087517633963,VaR_Backtesting,,
MSFT,sGARCH_norm_Historical,0.95,Historical,60,903,0.0664451827242525,0.05,0.0304966700254172,0.60082448470929,0.551445571012769,VaR_Backtesting,,
MSFT,sGARCH_norm_Parametric,0.95,Parametric,45,903,0.0498338870431894,0.05,0.9817177051124,0.261544698546182,0.645095435869997,VaR_Backtesting,,
MSFT,sGARCH_norm_GARCH,0.95,GARCH,58,903,0.0642303433001107,0.05,0.0596902846381926,0.501082124348954,0.684638605602695,VaR_Backtesting,,
MSFT,sGARCH_norm_Historical,0.99,Historical,2,903,0.0022148394241417,0.01,0.0044620389843526,,0.999841744123726,VaR_Backtesting,,
MSFT,sGARCH_norm_Parametric,0.99,Parametric,12,903,0.0132890365448505,0.01,0.344292898745838,0.146156811371543,0.233137194923419,VaR_Backtesting,,
MSFT,sGARCH_norm_GARCH,0.99,GARCH,16,903,0.017718715393134,0.01,0.0355273643017773,,0.665278144560663,VaR_Backtesting,,
MSFT,sGARCH_sstd_Historical,0.95,Historical,60,903,0.0664451827242525,0.05,0.0304966700254172,0.60082448470929,0.551445571012769,VaR_Backtesting,,
MSFT,sGARCH_sstd_Parametric,0.95,Parametric,45,903,0.0498338870431894,0.05,0.9817177051124,0.261544698546182,0.645095435869997,VaR_Backtesting,,
MSFT,sGARCH_sstd_GARCH,0.95,GARCH,58,903,0.0642303433001107,0.05,0.0596902846381926,0.501082124348954,0.684638605602695,VaR_Backtesting,,
MSFT,sGARCH_sstd_Historical,0.99,Historical,2,903,0.0022148394241417,0.01,0.0044620389843526,,0.999841744123726,VaR_Backtesting,,
MSFT,sGARCH_sstd_Parametric,0.99,Parametric,12,903,0.0132890365448505,0.01,0.344292898745838,0.146156811371543,0.233137194923419,VaR_Backtesting,,
MSFT,sGARCH_sstd_GARCH,0.99,GARCH,9,903,0.0099667774086378,0.01,0.991990030572707,,0.946380861136597,VaR_Backtesting,,
MSFT,eGARCH_Historical,0.95,Historical,60,903,0.0664451827242525,0.05,0.0304966700254172,0.60082448470929,0.551445571012769,VaR_Backtesting,,
MSFT,eGARCH_Parametric,0.95,Parametric,45,903,0.0498338870431894,0.05,0.9817177051124,0.261544698546182,0.645095435869997,VaR_Backtesting,,
MSFT,eGARCH_GARCH,0.95,GARCH,56,903,0.062015503875969,0.05,0.109717203158412,0.36323140682018,0.66741119929051,VaR_Backtesting,,
MSFT,eGARCH_Historical,0.99,Historical,2,903,0.0022148394241417,0.01,0.0044620389843526,,0.999841744123726,VaR_Backtesting,,
MSFT,eGARCH_Parametric,0.99,Parametric,12,903,0.0132890365448505,0.01,0.344292898745838,0.146156811371543,0.233137194923419,VaR_Backtesting,,
MSFT,eGARCH_GARCH,0.99,GARCH,9,903,0.0099667774086378,0.01,0.991990030572707,,0.946380861136635,VaR_Backtesting,,
MSFT,gjrGARCH_Historical,0.95,Historical,60,903,0.0664451827242525,0.05,0.0304966700254172,0.60082448470929,0.551445571012769,VaR_Backtesting,,
MSFT,gjrGARCH_Parametric,0.95,Parametric,45,903,0.0498338870431894,0.05,0.9817177051124,0.261544698546182,0.645095435869997,VaR_Backtesting,,
MSFT,gjrGARCH_GARCH,0.95,GARCH,56,903,0.062015503875969,0.05,0.109717203158412,0.36323140682018,0.80305432035797,VaR_Backtesting,,
MSFT,gjrGARCH_Historical,0.99,Historical,2,903,0.0022148394241417,0.01,0.0044620389843526,,0.999841744123726,VaR_Backtesting,,
