"Model","Confidence_Level","Avg_Violation_Rate","Avg_Kupiec_PValue","Avg_Christoffersen_PValue","Avg_DQ_PValue","Pass_Kupiec","Pass_Christoffersen","Pass_DQ","Total_Assets"
"TGARCH_GARCH",0.95,0.0516795865633075,0.588657291474226,0.49550571780425,0.403310094377661,12,10,12,12
"TGARCH_GARCH",0.99,0.0106127722406792,0.628545246181119,0.136085419748992,0.806364948063572,12,1,12,12
"eGARCH_GARCH",0.95,0.0510335917312661,0.594524032252162,0.493030072640675,0.381271988284601,12,11,12,12
"eGARCH_GARCH",0.99,0.0100590623846438,0.543314226556406,0.118277560813959,0.80214895726002,12,1,12,12
"gjrGARCH_GARCH",0.95,0.0518641565153193,0.627413171165192,0.554443361202283,0.513574377832927,12,11,12,12
"gjrGARCH_GARCH",0.99,0.0103359173126615,0.535302721876532,0.24453199620463,0.866119572067086,11,1,12,12
"sGARCH_norm_GARCH",0.95,0.0478036175710594,0.338503504695184,0.598330575743509,0.35063880758574,11,9,11,12
"sGARCH_norm_GARCH",0.99,0.0138427464008859,0.260976139458181,0.0581212028851328,0.643821492558986,9,2,12,12
"sGARCH_sstd_GARCH",0.95,0.0538021410114433,0.56716798632468,0.464367775116452,0.414415466113939,12,11,12,12
"sGARCH_sstd_GARCH",0.99,0.0104282022886674,0.584491301754652,0.101868908052012,0.801455897974034,12,1,12,12
