"Model","Confidence_Level","VaR_Method","Avg_Violation_Rate","Avg_Kupiec_PValue","Avg_Christoffersen_PValue","Avg_DQ_PValue","Pass_Kupiec","Pass_Christoffersen","Pass_DQ","Total_Assets"
"NF_eGARCH",0.95,"Historical",0.0500553709856035,NA,NA,1.56464393022649e-10,0,0,0,3
"NF_eGARCH",0.95,"NFGARCH",0,NA,NA,NA,0,0,0,3
"NF_eGARCH",0.95,"Parametric",0.0450350682908822,NA,NA,5.86683019825664e-10,0,0,0,3
"NF_eGARCH",0.99,"Historical",0.010188261351052,0.899141967893366,0.0516417425015552,3.69316549515523e-05,3,1,0,3
"NF_eGARCH",0.99,"NFGARCH",0,NA,NA,NA,0,0,0,3
"NF_eGARCH",0.99,"Parametric",0.0169804355850867,0.00117592118380746,0.250009060431484,3.67797465570362e-08,0,2,0,3
"NF_fGARCH",0.95,"Historical",0.0500553709856035,NA,NA,0.014538454917095,0,0,1,12
"NF_fGARCH",0.95,"NFGARCH",0.0500553709856035,NA,NA,0.014538454917095,0,0,1,12
"NF_fGARCH",0.95,"Parametric",0.0396640826873385,0.000109127083933545,0.0577274252033471,0.00994654633222283,0,3,1,12
"NF_fGARCH",0.99,"Historical",0.010188261351052,0.899141967893366,0.0211185769597372,1.09462911527535e-05,12,2,0,12
"NF_fGARCH",0.99,"NFGARCH",0.010188261351052,0.899141967893366,0.0211185769597372,1.09462911527535e-05,12,2,0,12
"NF_fGARCH",0.99,"Parametric",0.014562569213732,0.193591154802494,0.0749152120180285,1.56316540446916e-07,3,4,0,12
"NF_gjrGARCH",0.95,"Historical",0.0500553709856035,NA,NA,0.014538454917095,0,0,1,12
"NF_gjrGARCH",0.95,"NFGARCH",0,NA,NA,NA,0,0,0,12
"NF_gjrGARCH",0.95,"Parametric",0.0396640826873385,0.000109127083933545,0.0577274252033471,0.00994654633222283,0,3,1,12
"NF_gjrGARCH",0.99,"Historical",0.010188261351052,0.899141967893366,0.0211185769597372,1.09462911527535e-05,12,2,0,12
"NF_gjrGARCH",0.99,"NFGARCH",0,NA,NA,NA,0,0,0,12
"NF_gjrGARCH",0.99,"Parametric",0.014562569213732,0.193591154802494,0.0749152120180285,1.56316540446916e-07,3,4,0,12
"NF_sGARCH",0.95,"Historical",0.0500553709856035,NA,NA,0.014538454917095,0,0,2,24
"NF_sGARCH",0.95,"NFGARCH",0.0500553709856035,NA,NA,0.014538454917095,0,0,2,24
"NF_sGARCH",0.95,"Parametric",0.0396640826873385,0.000109127083933545,0.0577274252033471,0.00994654633222283,0,6,2,24
"NF_sGARCH",0.99,"Historical",0.010188261351052,0.899141967893366,0.0211185769597372,1.09462911527535e-05,24,4,0,24
"NF_sGARCH",0.99,"NFGARCH",0.010188261351052,0.899141967893366,0.0211185769597372,1.09462911527535e-05,24,4,0,24
"NF_sGARCH",0.99,"Parametric",0.014562569213732,0.193591154802494,0.0749152120180285,1.56316540446916e-07,6,8,0,24
